schools,degrees,name,full_name,born,died,spouses,parents,sibling,offspring,second_cousin,cousin,occupation,employer,positions
"Harvard University,Boston College","BA,JD",Bobby Scott,Robert Cortez Scott,1947-04-30,,,,,,,,,,"Chair of the House Education and Labor Committee,Member of the U.S. House of Representativesfrom Virginia's 3rd district,Member of the Virginia Senatefrom the 2nd district,Member of the Virginia House of Delegates,Military service"
"Harvard University,Boston College","BA,JD",Bobby Scott,Robert Cortez Scott,1947-04-30,,,,,,,,,,"Chair of the House Education and Labor Committee,Member of the U.S. House of Representativesfrom Virginia's 3rd district,Member of the Virginia Senatefrom the 2nd district,Member of the Virginia House of Delegates,Military service"
Brown University,BS,Bobby Jindal,Piyush Jindal,1971-06-10,,Supriya Jolly,,,3,,,,,"55th Governor of Louisiana,Member of the U.S. House of Representativesfrom Louisiana's 1st district,Assistant Secretary of Health and Human Services for Planning and Evaluation"
University of Lagos,,Olabode Ibiyinka George,,1945-11-21,,,,,,,,,,"9th Governor of Ondo State,Chairman Nigerian Ports Authority,Military service"
,,Bogdan Klich,,1960-05-06,,,,,,,,,,Minister of National Defence
,,Bodo Ramelow,,1956-02-16,,Germana Alberti,,,2,,,"Politician,Retail business management assistant,Union secretary",,"Minister-President of Thuringia,President of the Bundesrat,Leader of The Left in the Landtag of Thuringia,Leader of the Party of Democratic Socialism in the Landtag of Thuringia,Member of the Landtag of Thuringia,Member of the Bundestag  for Thuringia"
,,Bogdan Zdrojewski,,1957-05-18,,Barbara Mietelska,,,,,,,,"Minister of Culture and National Heritage,Parliamentary Leader of the Civic Platform5th Leader of the Civic Platform in the Sejm,Member of the Senate,Member of the Sejm,Member of the European Parliamentfor Lower Silesian and Opole,City mayor of Wrocław"
"University of Heidelberg,University of Leipzig,University of Jena,University of Vienna",,Eugen von Böhm-Bawerk,Eugen Böhm,1851-02-12,27 August 1914,,,,,,,,,
,,Boies Penrose,,1860-11-01,"December 31, 1921",,,,,,,,,"United States Senatorfrom Pennsylvania,Member of theRepublican National Committeefrom Pennsylvania,Chairman of the Republican State Committee of Pennsylvania,President pro temporeof the Pennsylvania Senate,Member of the Pennsylvania Senatefrom the 6th district,Member of the Pennsylvania House of Representativesfrom the Philadelphia County district"
,,Bolaji Akinyemi,,1942-01-04,,Rowena Akinyemi,,,"Atinuke Akinyemi, Tosin Akinyemi, Tolu Akinyemi, Benjamin Akinyemi",,,,,External Affairs Minister of Nigeria
"Ibadan Grammar School,University of Ibadan,University College London","University College London,University of Ibadan",James Ajibola Ige,James Ajibola Idowu Adegoke Ige,1930-09-13,23 December 2001,Atinuke Ige,,,,,,Lawyer,,"Commissioner for Agriculture,Governor of Oyo State,Minister of Power and Steel,Minister of Justice"
"University of Lagos,University of Sussex",,Bolaji Abdullahi,Bolaji Abdullahi,1969-08-12,,,,,,,,Politician,,
Georgetown Law,"LL.M.,LL.B.",Bolitha James Laws,Bolitha James Laws,1891-08-22,"November 14, 1958",,,,,,,,,"Chief Judge of the United States District Court for the District of Columbia,Judge of the United States District Court for the District of Columbia,Chief Justice of the District Court of the United States for the District of Columbia,Associate Justice of the District Court of the United States for the District of Columbia"
Florida State University,,Bolley Johnson,,1951-11-15,,Judi,,,,,,,,"87th Speaker of the Florida House of Representatives,Member of the Florida House of Representativesfrom the 1st district,Member of the Florida House of Representativesfrom the 4th district"
,,Andrew Bonar Law,Andrew Bonar Law,1858-09-16,30 October 1923,Annie Robley,,,"Richard Law, 1st Baron Coleraine",,,,,"Prime Minister of the United Kingdom,Leader of the House of Commons,Leader of the Conservative Party,Lord Privy Seal,Chancellor of the Exchequer,Secretary of State for the Colonies,Leader of the Opposition,Parliamentary Secretary to the Board of Trade,Member of Parliamentfor Glasgow Central,Member of Parliamentfor Bootle,Member of Parliamentfor Dulwich,Member of Parliamentfor Glasgow Blackfriars"
,,Boni Haruna,,1957-06-12,,,,,,,,,,Governor of Adamawa State
"University of Toronto,York University",,Bonnie Crombie,Bonnie Stack,1960-02-05,,None. Divorced.,,,3,,,,,"6th Mayor of Mississauga,Mississauga City Councillor,Member of Parliamentfor Mississauga—Streetsville"
Arizona State University,,Bonnie A. Bulla,,,,,,,,,,,,Judge of the Nevada Court of Appeals
"Brandeis University,Massachusetts Institute of Technology",,Bonnie Berger,Bonnie Anne Berger,,,,,,,,,,,
Southern Illinois University,,Bonnie Garcia,,1962-08-13,,Javier,,,2,,,,,Member of the California State Assemblyfrom the 80th district
,,Bonnie R. Cohen,,,,,,,,,,,,Under Secretary of State for Management
"Cornell University,Columbia University,University of Maryland","BA,MA,MBA",Bonnie Glick,,,,,,,2,,,,,Deputy Administrator of theUnited States Agency for International Development
,,Bonnie Hickey,,1955-03-05,,,,,,,,,,Member of Parliamentfor St. John's East
,,Bonnie McKinnon,,,,,,,,,,,,Assembly Memberfor Surrey-Cloverdale
,,Boomer Wright,,,,,,,,,,,,Member of the Oregon House of Representativesfrom the 9th district
"University of Washington, Seattle,Harvard University","BA,MBA",Booth Gardner,William Booth Gardner,1936-08-21,"March 15, 2013","
",,,,,,,,"19th Governor of Washington,Chair of the National Governors Association,1st Pierce County Executive,Member of the Washington Senatefrom the 26th district"
,,Boris Delaunay,Boris Nikolayevich Delaunay,1890-03-15,17 July 1980,,,,,,,,,
,,Boris  Dubrovin,Boris Anatolievich Dubrovin,1950-04-06,19 March 2019,,,,,,,Mathematician,,
Military Medical Academy,,Boris Petrovitch Babkin,,1877-01-17,3 May 1950,,,,,,,,,
Moscow State University,,Boris Feigin,Boris Lvovich Feigin,1953-11-20,,,,,,,,,,
,,Boris Levin,Boris Yakovlevich Levin,1906-12-22,24 August 1993,,,,,,,,,
Kharkov State University,,Boris Levitan,,1914-06-07,4 April 2004,,,,,,,,,
Goethe University Frankfurt,,Boris Rhein,,1972-01-02,,Tanja Raab-Rhein,,,Oskar and Bruno,,,,,"Minister-President of Hesse,President of the Hessian Landtag,Hessian Minister for Science and Art,Hessian Minister of the Interior and Sport"
"Steklov Institute of Mathematics,Ph.D.",,Boris Weisfeiler,,"April 19, 1941",,,,,,,,,,
Saratov State University,,Boris Vladimirovich Gnedenko,,1912-01-01,"December 27, 1995",Natalia K. Gnedenko,,,2 sons,,,"Scientist,Mathematician",,
Ss. Cyril and Methodius University in Skopje,,Boris Trajkovski,,1956-06-25,26 February 2004,Vilma Trajkovska ,,,,,,,,2nd President of Macedonia
,,Borislav Paravac,,1943-02-18,,,,,,,,,,"8th Chairman of the Presidency of Bosnia and Herzegovina,4th Serb Member of the Presidency of Bosnia and Herzegovina,Member of the House of Representatives,Member of the House of Peoples"
Sam Houston State University,,Borris L. Miles,,1965-10-29,,Cydonii Fairfax Miles,,,,,,Insurance Broker,,"Member of the Texas Senatefrom the 13th district,Member of the Texas House of Representativesfrom the 146th district"
Kharkiv University,,Borys Mykolayovych Martos,,1879-05-20,"September 19, 1977",M.Kucheryavenko,,,,,,"Politician,Activist,Pedagogue",,"5th Chairman of People's Ministers,Minister of Food Provisions,Secretary of Agrarian Affairs"
,,Borys Budka,,1978-03-11,,,,,,,,,,"Chairman of Civic Platform,Minister of Justice,Member of the Sejm,Member of the Zabrze City Council"
,,Bo Ringholm,Bo Ingvar Karchimirer Ringholm,1942-08-18,,Kerstin Ringholm,,,3,,,,,"Acting Minister for Foreign Affairs,Minister for European Affairs,Deputy Prime Minister of Sweden, Minister for Sport,Minister for Finance"
,,Boudewijn Revis,,1974-07-21,,,,,,,,Politician,,Mayor of The Hague
"Iowa State University,University of Iowa","BA,LLB",Bourke B. Hickenlooper,Bourke Blakemore Hickenlooper,1896-07-21,", ",Verna Bensch,,,2,,,,,"Chair of the Senate Republican Policy Committee,United States Senatorfrom Iowa,29th Governor of Iowa,29th Lieutenant Governor of Iowa"
"École normale supérieure,University of Paris,[1]",,Pierre Bourdieu,,1 August 1930,23 January 2002,,,,,,,,,
"Cairo University,University of Paris,Sciences Po",,Boutros Boutros-Ghali,,1922-11-14,16 February 2016,,,,,,,,,"Secretary-General of the United Nations,Secretary-General of La Francophonie,Acting Minister of Foreign Affairs"
Kansas City School of Law,LL.B.,Bower Slack Broaddus,Bower Slack Broaddus,1888-05-30,"December 10, 1949",,,,,,,,,Judge of the United States District Court for the Eastern District of OklahomaJudge of the United States District Court for the Northern District of OklahomaJudge of the United States District Court for the Western District of Oklahoma
,,Bowen Wells,,1935-08-04,,,,,,,,,,"Chair of the International Development Committee,Lord Commissioner of the Treasury,Member of Parliament for Hertford and StortfordHertford and Stevenage (1979-1983)"
,,,,1955-06-24,,,,,,,,,,"Personal information,Youth career,Senior career*,Teams managed"
"Princeton University,B.A.,University of Virginia,J.D.",,Bowie Kuhn,Bowie Kent Kuhn,1926-10-28,"March 15, 2007",Luisa,,,2 children,,,,,"5th Commissioner of Baseball,Member of the National,   Baseball Hall of Fame   "
"Davidson College,University of Virginia School of Law","JD,AB",Boyce F. Martin Jr.,Boyce Ficklen Martin Jr.,1935-10-23,"June 1, 2016",,,,,,,,,"Chief Judge of the United States Court of Appeals for the Sixth Circuit,Judge of the United States Court of Appeals for the Sixth Circuit"
,,Boyan Slat,,1994-07-27,,,,,,,,"Inventor, entrepreneur",,
,,Boy Trip,Fokele Hendrik Pieter Trip,1921-10-21,26 January 1990,Anna Sophia van Amerongen,,,6 children,,,"Politician,Businessman,Corporate director,Nonprofit director,Academic administrator,Hospital administrator",,"Member of the Senate,Minister for Science Policy"
"Ohio Wesleyan University,B.S.,Case School of Applied Science,M.S.,Cornell University,Ph.D.",,Boyce Dawkins McDaniel,,1917-06-11,"May 8, 2002",,,,,,,,,
"Arkansas Tech University,Ouachita Baptist University,University of Arkansas School of Law",,Boyd Anderson Tackett,,1911-05-09,"February 23, 1985",,,,,,,Attorney,,"Member of the U.S. House of Representativesfrom Arkansas's 4th district,Member of the Arkansas House of Representatives,Military service"
Washington & Jefferson College,,Boyd Crumrine Patterson,,"April 23, 1902","July 12, 1988",Mary Eleanor Dennison,,,,,,,,Ninth President of Washington & Jefferson College
Washington & Jefferson College,,Boyd Crumrine Patterson,,"April 23, 1902","July 12, 1988",Mary Eleanor Dennison,,,,,,,,Ninth President of Washington & Jefferson College
"Arizona State University, Tempe","BS,JD",Boyd Dunn,,", ",,,,,,,,,,Member of the Arizona Corporation Commission
,,Boyd Orr,,1945-11-29,,Sandie,,,,,,,,Member of the Kansas House of Representativesfrom the 115th district
,,The Lord Merriman,,28 April 1880,18 January 1962 (aged 81),,,,,,,,,Solicitor General for England and Wales
"Boston University,[3]",,Boyd B. Jones,,1856-10-13,"June 5, 1930",,,,,,,Attorney,,United States Attorney for the District of Massachusetts
,,Boyd R. Overhulse,,1909-07-30,"January 2, 1966",,,,,,,,,"41st President of the Oregon State Senate,Member of the Oregon Senatefrom the 17th and 19th district,Member of the Oregon House of Representativesfrom the 26th and 25th district"
"Centre College,University of Virginia,University of Louisville",,Boyd Winchester,,1836-09-23,"May 18, 1923",,,,,,,,,"8th United States Ambassador to Switzerland and Liechtenstein,Member of the U.S. House of Representativesfrom Kentucky's 5th district,Member of the Kentucky Senate"
"Oregon State University, Corvallis,Lewis and Clark College","BA,JD",Brad Avakian,Bradley Paul Avakian,1961-02-04,,Deborah Avakian,,,,,,,,"Labor Commissioner of Oregon,Member of the Oregon Senatefrom the 17th district,Member of the Oregon House of Representativesfrom the 34th district"
University of Mississippi,,Brad Dye,,1933-12-20,"July 1, 2018","Donna Bailey (m. 1963-2018, his death)",,,3 sons,,,,,"27th Lieutenant Governor of Mississippi,47th State Treasurer of Mississippi,Member of the Mississippi State Senate,Member of the Mississippi House of Representatives"
"Baylor University,Trinity College, Oxford,University of Oklahoma","BA,MA,JD",Brad Carson,,1967-03-11,,Julie Carson,,,,,,,,"Acting Under Secretary of Defense for Personnel and Readiness,United States Under Secretary of the Army,Member of the U.S. House of Representativesfrom Oklahoma's 2nd district"
"Central Washington University,George Washington University",George Washington University,Brad Hawkins,Bradley Matthew Hawkins,1975-11-16,,Shawna Hawkins,,,2,,,,,"Member of the Washington Senatefrom the 12th district,Member of the Washington House of Representativesfrom the 12th district"
University of Illinois,,Brad Johnson,,1951-03-06,,Lisa,,,,,,,,"Member of the Montana Public Service Commissionfor the 5th district,Secretary of State of Montana"
"Iowa State University,South Texas College of Law","BA,JD",Brad Hart,,,,,,,,,,,,Mayor of Cedar Rapids
"West Virginia University,Exeter College, Oxford,Harvard University","BA,JD,MPhil",Brad Hoylman,,1965-10-27,,David Sigal (m. 2013),,,2,,,,,Member of the New York State Senatefrom the 27th district
"University of North Carolina, Chapel Hill,London School of Economics,Columbia University",Columbia University,Brad Miller,Ralph Bradley Miller,1953-05-19,,,,,,,,,,"Member of the U.S. House of Representativesfrom North Carolina's 13th district,Member of the North Carolina Senatefrom the 14th district,Member of the North Carolina House of Representativesfrom the 61st district"
,,Brad Owen,Bradley Scott Owen,1950-05-23,,Linda Owen,,,6,,,,,"15th Lieutenant Governor of Washington,Member of the Washington Senatefrom the 35th district,Member of the Washington House of Representativesfrom the 24th district"
,,Brad Oberhousen,,1978-02-22,,,,,,,,,,Member of the Mississippi House of Representativesfrom the 73rd district
"University of Wisconsin–Green Bay,George Mason University","BA,MPA",Brad Pfaff,,1967-12-07,,Betty,,,2,,,,,"Member of the Wisconsin Senatefrom the 32nd district,Secretary-designee of the Wisconsin Department of Agriculture, Trade and Consumer Protection"
"University of Chicago,Pratt Institute,University College London","BA,MS,MSc",Brad Lander,,1969-07-08,,Meg Barnette,,,2,,,,,"45th New York City Comptroller,Member of the New York City Councilfrom the 39th district"
"University of Western Ontario,Georgia State University","BS,MBA",Brad Raffensperger,Bradford Jay Raffensperger,1955-05-18,,Tricia,,,3,,,,,"29th Secretary of State of Georgia,Member of the Georgia House of Representativesfrom the 50th district"
,,Brad Redekopp,,1964 or 1965 (age 56–57),,,,,,,,,,Member of Parliamentfor Saskatoon West
